train,test,val
normal_069,normal_126,tumor_057
tumor_104,test_077,normal_067
normal_071,test_087,normal_130
normal_127,tumor_014,normal_115
test_046,normal_143,test_015
normal_040,tumor_102,normal_057
normal_080,normal_048,test_098
normal_134,test_119,tumor_086
tumor_084,normal_072,tumor_009
normal_106,normal_001,normal_065
normal_054,normal_101,normal_026
normal_036,test_019,test_106
normal_128,normal_006,test_034
tumor_109,normal_075,test_041
test_113,normal_093,test_083
test_043,normal_063,test_071
normal_095,tumor_047,tumor_039
normal_002,tumor_034,test_114
normal_138,normal_159,tumor_043
tumor_036,test_008,test_082
test_004,tumor_060,tumor_027
tumor_011,normal_098,normal_153
normal_033,normal_032,normal_011
tumor_096,tumor_065,normal_021
test_080,test_010,tumor_061
test_028,tumor_083,tumor_092
tumor_020,test_075,test_042
normal_061,test_006,normal_135
test_020,tumor_054,test_038
tumor_004,tumor_045,normal_150
normal_094,normal_104,test_030
normal_076,tumor_069,normal_103
test_005,test_089,test_062
normal_012,normal_028,normal_074
normal_156,normal_035,normal_136
test_033,normal_123,test_039
test_025,test_072,normal_145
test_011,test_048,normal_051
test_128,normal_105,normal_097
test_109,tumor_021,test_014
normal_108,test_095,test_110
test_093,tumor_063,normal_070
normal_096,tumor_010,tumor_050
test_129,tumor_106,normal_129
test_068,test_116,tumor_067
tumor_105,normal_047,normal_118
normal_133,normal_018,test_086
normal_137,tumor_048,normal_041
normal_014,test_058,
normal_039,normal_109,
normal_120,tumor_064,
normal_004,tumor_082,
tumor_074,test_074,
tumor_059,test_084,
test_099,normal_025,
normal_079,tumor_079,
test_053,normal_102,
test_036,tumor_055,
test_127,normal_158,
normal_146,tumor_019,
normal_124,tumor_023,
tumor_076,test_056,
tumor_077,test_040,
tumor_078,normal_007,
normal_119,normal_045,
normal_037,normal_020,
normal_034,test_097,
test_012,tumor_091,
test_022,test_081,
test_031,test_105,
normal_066,normal_042,
tumor_042,normal_031,
normal_112,test_029,
tumor_031,tumor_070,
tumor_098,test_060,
test_107,tumor_015,
tumor_087,test_013,
normal_122,normal_149,
normal_058,test_018,
test_016,tumor_008,
test_118,,
tumor_022,,
test_102,,
tumor_016,,
tumor_071,,
test_001,,
test_120,,
test_130,,
tumor_035,,
normal_010,,
test_092,,
normal_059,,
test_070,,
test_017,,
normal_009,,
tumor_046,,
test_045,,
test_111,,
test_067,,
normal_013,,
test_094,,
normal_110,,
normal_116,,
test_073,,
test_066,,
tumor_017,,
normal_038,,
normal_113,,
tumor_026,,
tumor_003,,
tumor_090,,
tumor_012,,
normal_142,,
normal_090,,
normal_160,,
test_090,,
tumor_088,,
normal_092,,
test_003,,
tumor_093,,
test_059,,
normal_082,,
tumor_108,,
test_023,,
test_054,,
tumor_099,,
test_002,,
normal_060,,
normal_008,,
normal_141,,
normal_044,,
normal_030,,
tumor_095,,
normal_155,,
normal_125,,
normal_052,,
normal_084,,
normal_100,,
normal_068,,
tumor_066,,
tumor_075,,
test_024,,
test_061,,
tumor_040,,
tumor_068,,
normal_148,,
tumor_032,,
normal_089,,
tumor_094,,
normal_016,,
test_103,,
normal_081,,
tumor_013,,
tumor_029,,
normal_139,,
tumor_058,,
test_027,,
test_021,,
normal_055,,
normal_083,,
normal_132,,
test_125,,
tumor_044,,
normal_088,,
test_108,,
test_057,,
test_044,,
test_007,,
normal_147,,
tumor_049,,
tumor_006,,
normal_107,,
tumor_018,,
tumor_001,,
tumor_028,,
normal_022,,
tumor_025,,
tumor_037,,
test_117,,
tumor_056,,
tumor_041,,
normal_077,,
test_064,,
tumor_085,,
test_065,,
normal_050,,
normal_085,,
test_035,,
normal_005,,
normal_154,,
normal_064,,
tumor_097,,
tumor_033,,
normal_043,,
test_047,,
normal_024,,
tumor_062,,
normal_099,,
tumor_038,,
test_009,,
normal_152,,
test_032,,
normal_140,,
test_069,,
test_123,,
normal_023,,
test_063,,
tumor_051,,
test_078,,
normal_062,,
test_088,,
normal_053,,
test_122,,
tumor_002,,
normal_144,,
normal_019,,
tumor_101,,
test_079,,
normal_151,,
normal_078,,
test_051,,
normal_114,,
normal_017,,
test_115,,
test_091,,
normal_157,,
test_076,,
tumor_107,,
test_121,,
normal_003,,
normal_131,,
tumor_030,,
test_052,,
tumor_052,,
test_124,,
tumor_053,,
normal_121,,
test_112,,
tumor_007,,
tumor_089,,
normal_091,,
normal_015,,
tumor_024,,
normal_117,,
tumor_103,,
tumor_110,,
test_126,,
normal_073,,
tumor_081,,
test_026,,
test_104,,
normal_111,,
normal_046,,
normal_087,,
tumor_100,,
test_037,,
tumor_073,,
tumor_072,,
tumor_111,,
test_096,,
normal_049,,
tumor_005,,
tumor_080,,
test_101,,
test_050,,
test_100,,
test_055,,
normal_027,,
normal_029,,
normal_056,,
test_085,,
