train,test,val
normal_153,tumor_002,test_122
normal_011,test_004,test_002
tumor_086,normal_155,normal_104
normal_053,tumor_097,tumor_032
normal_141,test_091,tumor_069
normal_081,test_012,normal_096
test_010,tumor_038,test_016
tumor_075,test_128,tumor_062
normal_002,normal_089,normal_075
tumor_084,test_104,test_005
normal_071,test_112,normal_128
test_086,normal_030,test_083
test_068,normal_064,normal_090
tumor_023,normal_117,tumor_005
test_039,tumor_033,normal_004
test_116,tumor_040,normal_135
test_118,test_108,normal_031
test_019,normal_059,tumor_046
test_126,tumor_051,tumor_081
test_029,normal_106,normal_158
test_040,test_041,normal_040
tumor_017,test_003,test_088
test_047,normal_121,normal_146
normal_047,test_106,test_065
test_105,tumor_100,tumor_060
normal_144,tumor_016,test_046
normal_156,tumor_073,test_100
test_094,test_059,test_076
test_054,test_052,normal_120
normal_069,tumor_027,normal_126
tumor_039,test_021,test_033
normal_124,tumor_031,test_114
tumor_066,normal_115,tumor_107
tumor_082,tumor_078,normal_143
tumor_056,test_098,test_036
tumor_028,normal_039,tumor_105
test_089,normal_070,normal_133
normal_122,test_121,tumor_092
tumor_054,normal_003,test_063
tumor_111,normal_015,normal_112
normal_098,test_130,normal_028
test_035,normal_087,tumor_004
normal_149,normal_019,tumor_008
normal_138,normal_050,normal_107
tumor_014,test_101,tumor_104
tumor_035,tumor_074,tumor_011
tumor_049,test_064,test_055
normal_116,tumor_058,test_082
test_071,normal_029,
tumor_009,test_078,
normal_129,tumor_037,
normal_111,normal_118,
test_042,normal_140,
test_018,test_111,
normal_103,normal_009,
test_024,test_120,
test_030,tumor_026,
tumor_010,test_053,
tumor_089,test_020,
normal_085,normal_114,
tumor_080,tumor_043,
normal_055,normal_092,
tumor_093,normal_062,
test_072,normal_058,
tumor_048,test_109,
tumor_072,test_102,
test_013,tumor_061,
tumor_099,tumor_077,
test_011,tumor_103,
normal_012,test_113,
normal_048,normal_088,
normal_147,tumor_003,
normal_142,tumor_096,
normal_076,test_090,
normal_017,test_034,
normal_108,tumor_024,
normal_067,tumor_057,
test_123,normal_065,
normal_127,normal_095,
tumor_101,tumor_108,
tumor_095,,
tumor_030,,
test_001,,
test_048,,
normal_134,,
normal_080,,
tumor_106,,
normal_034,,
test_085,,
test_067,,
normal_132,,
normal_035,,
normal_151,,
tumor_067,,
test_069,,
normal_110,,
normal_093,,
normal_082,,
normal_023,,
tumor_090,,
test_008,,
test_022,,
tumor_055,,
tumor_085,,
tumor_052,,
normal_044,,
normal_033,,
normal_010,,
test_050,,
tumor_102,,
test_073,,
test_060,,
test_056,,
tumor_065,,
normal_113,,
normal_157,,
normal_099,,
tumor_076,,
test_027,,
normal_074,,
test_125,,
tumor_007,,
normal_018,,
tumor_053,,
test_092,,
test_119,,
normal_060,,
normal_008,,
tumor_042,,
tumor_098,,
normal_054,,
normal_084,,
normal_032,,
tumor_064,,
tumor_034,,
test_084,,
tumor_022,,
normal_020,,
test_066,,
tumor_050,,
normal_013,,
normal_102,,
tumor_109,,
test_117,,
normal_049,,
test_061,,
tumor_041,,
normal_077,,
normal_014,,
normal_139,,
normal_125,,
test_028,,
normal_037,,
tumor_029,,
normal_051,,
normal_109,,
test_044,,
normal_027,,
normal_159,,
tumor_006,,
normal_005,,
test_074,,
normal_026,,
normal_061,,
tumor_070,,
test_009,,
test_096,,
tumor_087,,
normal_145,,
test_023,,
normal_016,,
test_097,,
normal_131,,
tumor_020,,
test_077,,
test_127,,
normal_136,,
tumor_083,,
tumor_088,,
normal_105,,
normal_052,,
normal_154,,
normal_056,,
tumor_025,,
normal_006,,
test_129,,
normal_150,,
tumor_044,,
normal_036,,
normal_148,,
tumor_045,,
test_007,,
normal_021,,
tumor_013,,
normal_119,,
test_043,,
normal_079,,
test_095,,
test_017,,
normal_094,,
test_103,,
normal_078,,
test_079,,
tumor_047,,
normal_024,,
test_057,,
test_058,,
test_031,,
normal_066,,
normal_123,,
normal_043,,
test_099,,
normal_001,,
tumor_110,,
test_062,,
tumor_063,,
test_075,,
tumor_059,,
tumor_012,,
test_037,,
normal_152,,
test_093,,
normal_091,,
tumor_036,,
test_026,,
tumor_068,,
normal_100,,
test_032,,
test_110,,
test_014,,
test_045,,
tumor_094,,
normal_130,,
test_038,,
normal_137,,
normal_022,,
normal_046,,
test_070,,
normal_041,,
tumor_079,,
normal_083,,
test_107,,
normal_068,,
test_115,,
tumor_091,,
normal_045,,
test_124,,
tumor_018,,
normal_007,,
tumor_019,,
normal_057,,
normal_025,,
test_080,,
tumor_071,,
normal_072,,
normal_101,,
test_051,,
test_081,,
tumor_021,,
test_015,,
normal_073,,
tumor_001,,
test_025,,
normal_038,,
normal_042,,
normal_063,,
tumor_015,,
normal_160,,
test_087,,
test_006,,
normal_097,,
